id;nazwa;branza;model_leada;skala;obszar;strona_www;strona_franczyzy_rozwoju;strony_lokalne_status;centrala_oferuje_strony;email;telefon;decydent;stanowisko;linkedin_decydenta;zrodlo;krotkie_uzasadnienie;co_sprzedac;priorytet;powod_odrzucenia
52;Banieczka;myjnie samochodowe samoobslugowe;siec myjni z partnerami;najwieksza siec myjni samoobslugowych w PL - partnerzy w ~15 miastach;Aleksandrow Lodzki, Belchatow, Bystrzyca-Klodzka, Gliwice, Gorzow Wlkp., Kedzierzyn-Kozle, Nowa Sol, Oborniki, okolice Poznania, Przemet, Radomsko, Sekowo, Skrzyszow, Srem, Wrzesnia;https://banieczka.pl;https://banieczka.pl/locations/;BRAK stron per myjnia - wylacznie lokalizator/wyszukiwarka myjni;NIE POTWIERDZONO;brak publicznego e-maila (formularz);brak publicznego telefonu;brak danych;-;brak danych;banieczka.pl/locations/ + banieczka.pl (nawigacja: myjnie partnerskie);Weryfikacja: lokalizator bez stron per lokalizacja - myjnie partnerskie to niezalezne firmy;landing per myjnia pod myjnia bezdotykowa [miasto] + pakiet dla nowych partnerow;A;-
53;Fit Cake;kawiarnie / cukiernie bez cukru i glutenu;franczyza;80+ lokali (2024), franczyza od 2017, m.in. Gdynia, Poznan, Szczecin, Katowice, Warszawa;Polska;https://fitcake.pl;https://fitcake.pl/;Lista placowek z adresami, telefonami, mailami i linkami do FB/IG - brak widocznych stron per lokal (do potwierdzenia);NIE POTWIERDZONO;brak publicznego e-maila centrali (maile per lokal);brak publicznego telefonu;Rafal Kosciuk;wlasciciel franczyzy Fit Cake;brak danych;franchising.pl/artykul/13411 + franczyzawpolsce.pl;Weryfikacja: 80+ kawiarni, lista placowek na stronie produktowej bez wlasnych stron lokalnych;strony per kawiarnia: ciasto bez cukru [miasto], kawiarnia bezglutenowa [dzielnica];A;-
54;Audiofon (dlugi ogon lokalizacji);protetyka sluchu;siec wlasna;450+ oddzialow - landingi miejskie tylko dla ~18 miast;Polska;https://audiofon.com.pl;https://audiofon.com.pl/wojewodztwa;CZESCIOWO - miasta wojewodzkie maja podstrony (badanie-sluchu-<miasto>), ok. 430 lokalizacji w mniejszych miastach tylko na liscie wojewodzkiej;CZESCIOWO;brak publicznego e-maila (formularz);brak publicznego telefonu;brak danych;-;brak danych;audiofon.com.pl (struktura /badanie-sluchu-<miasto>, /wojewodztwa);Weryfikacja: dlugi ogon ~430 lokalizacji bez wlasnych stron - najwiekszy wolumen przy jednej decyzji;strony dla pozostalych miast w istniejacym szablonie sieci;A;-
55;Stacja Grawitacja;parki trampolin;firma wielolokalizacyjna;4 parki: Warszawa (Ochota), Czestochowa, Poznan (Pestka), Lodz;Warszawa, Czestochowa, Poznan, Lodz;https://www.stacjagrawitacja.pl;n/d;Jedna strona z lista 4 adresow i telefonow - brak stron per park;NIE POTWIERDZONO;brak publicznego e-maila;+48 726 130 666 (Warszawa);brak danych;-;brak danych;stacjagrawitacja.pl;Weryfikacja: 4 lokalizacje na jednej stronie bez podstron per miasto;landingi per park: park trampolin [miasto], urodziny dla dziecka [miasto];A;-
56;Hakiel Akademia Tanca;szkola tanca;firma wielolokalizacyjna (jedno miasto, wiele dzielnic);5-7 lokalizacji w Warszawie: Mokotow, Bialoleka, Goclaw, Zoliborz, Wilanow, Sadyba, Wola;Warszawa;https://hakiel.pl;n/d;Jedna strona dla wszystkich lokalizacji dzielnicowych;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Marcin Hakiel;wlasciciel Akademii;brak danych;hakiel.pl + franchising.pl (wywiad);Weryfikacja: wiele szkol w dzielnicach bez stron dzielnicowych;landingi dzielnicowe: szkola tanca [dzielnica], taniec dla dzieci [dzielnica];A;-
57;Lejdis Studio;szkoly tanca;siec (wchodzi we franczyze);10 szkol (dane 2023);Polska;brak danych;n/d;DO WERYFIKACJI - brak potwierdzenia stron per szkola;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;franczyzawpolsce.pl (14 nowych franczyz);Weryfikacja wstepna: 10 szkol, wejscie we franczyze - typowa mloda siec bez systemu stron;strony per szkola + zapisy online;B;-
58;Samo Zdrowie;sklepy medyczne;franczyza;wzrost z 25 (2022) do 40 placowek;Polska;brak danych;n/d;DO WERYFIKACJI - brak potwierdzenia stron per sklep;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;franczyzawpolsce.pl (ranking franczyz);Weryfikacja wstepna: 40 sklepow medycznych w franczyzie;strony per sklep: sklep medyczny [miasto], wypozyczalnia sprzetu [miasto];B;-
59;Nexterio;outlet materialow wykonczeniowych;franczyza / retail;77 sklepow, z czego niemal polowa franczyzowych;Polska;brak danych;n/d;DO WERYFIKACJI - brak potwierdzenia stron per sklep;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;franczyzawpolsce.pl;Weryfikacja wstepna: 77 sklepow outletowych;strony per sklep: outlet [miasto];B;-
60;Grupa PSB (PSB Mrówka / PSB Profi / Składy PSB);sklepy budowlano-remontowe;grupa zakupowa / sieć placówek;416 sklepów PSB Mrówka + 271 składów PSB + 81 placówek PSB Profi (ok. 768 lokalizacji, obecność w 85% powiatów);ogólnopolska;https://www.grupapsb.com.pl;https://www.grupapsb.com.pl/gdzie-kupisz;NIE - lokalizator „Gdzie kupisz” (Mapa/Lista, filtry, „Ustal moje położenie”) pokazuje nazwę, adres i telefon, bez osobnych stron placówek (stan 21.09.2026);NIE - brak informacji o stronach lokalnych dla placówek;brak publicznego e-maila centrali (formularz kontaktowy na grupapsb.com.pl);brak danych centrali (telefony dostępne tylko per sklep);brak danych;dział marketingu / rozwoju sieci (do ustalenia);brak danych;grupapsb.com.pl/gdzie-kupisz | poradnik-remontowy24.pl/sklepy-psb-mrowka-lista (411 lokalizacji) | portalnarzedzi.pl (363 sklepy, 04.2024);768 placówek pod trzema markami, a na stronie tylko mapa z adresami - klient wpisujący „mrówka Lubartów godziny otwarcia” trafia w katalogi zewnętrzne;Program stron lokalnych dla członków sieci: szablon + wdrożenia hurtowe dla 416 Mrówek i 271 składów, abonament od centrali;A+;
61;Chata Polska (Grupa MAR-OL);sklepy spożywcze (małoformatowe);franczyza / sieć sklepów;413 sklepów (29 własnych) w 7 województwach, ok. 20 otwarć rocznie, ok. 3 mln klientów miesięcznie (dane 10.2025 - inne źródła podają 300-410 w różnych datach);ogólnopolska (Wielkopolskie 182, Lubuskie 54, Dolnośląskie 51, Kujawsko-Pomorskie 25, Zachodniopomorskie 20);https://www.chatapolska.pl;https://www.chatapolska.pl/franczyza.html;NIE - sekcja /sklepy/ to mapa + wyszukiwarka ulica/miasto, a link „znajdź sklep” prowadzi do formularza „szukamy lokalizacji”. Brak stron sklepów (stan 21.09.2026);NIE - brak informacji o stronach dla franczyzobiorców;brak publicznego e-maila (formularz kontaktowy);+48 61 65 00 360 (centrala Poznań, ul. Zwierzchowskiego 25);brak danych;dział franczyzy / marketingu (do ustalenia);brak danych;braindesign.pl (413 sklepów, 10.2025) | chatapolska.pl/sklepy/wielkopolskie,18.html | chatapolska.pl/localization;413 sklepów w 7 województwach, a nie ma ani jednej podstrony sklepu - lokalne zapytania obsługują gazetki zewnętrzne;Program: 413 landingów lokalnych („chata polska + miasto/dzielnica”) + gotowe strony dla nowych otwarć w abonamencie, do tego strona rekrutacyjna dla franczyzobiorców;A+;
62;Ale Animale;sklepy zoologiczne;franczyza / sieć sklepów;41 sklepów (Małopolska, Podkarpacie, Śląsk, Świętokrzyskie - Kraków x3, Tarnów, Rzeszów, Nowy Sącz, Olkusz, Myślenice, Jaworzno, Sosnowiec, Częstochowa, Przemyśl, Sandomierz, Bochnia, Brzesko, Dębica, Mielec, Biłgoraj i in.);Polska południowa;https://aleanimale.pl;https://aleanimale.pl/kontakt;NIE - /nasze-sklepy/ to lokalizator z 41 kartami (adres, telefon, wskazówki dojazdu), bez osobnych podstron sklepów (stan 21.09.2026);NIE - brak informacji o stronach dla sklepów;brak publicznego e-maila centrali (formularz kontaktowy);brak danych centrali (telefony per sklep);brak danych;właściciel / dział marketingu (do ustalenia);brak danych;aleanimale.pl/nasze-sklepy/ (lokalizator „Wszystkie sklepy (41)”) | infolinia.info.pl (lista sklepów z telefonami);41 sklepów i lokalizator zamiast stron: klient z Myślenic czy Olkusza nie znajdzie oferty w Google, tylko wizytówkę w katalogu;41 landingów „sklep zoologiczny + miasto” na jednym szablonie (oferta, opinie z miasta, mapa, kontakt) + strony dla nowych otwarć;A;
63;Moby Dick (Moby Dick Group);sklepy zoologiczne (marka partnerska);grupa zakupowa / program partnerski;ok. 101 sklepów partnerskich (niezależne, specjalistyczne sklepy pod marką Moby Dick);ogólnopolska;https://mobydick.com.pl;https://mobydick.com.pl/ (program partnerski wskazywany jako MobyDickGroup.pl);NIE - strona grupy pokazuje marki i formularz kontaktowy - lista sklepów Moby Dick żyje na stronach trzecich, np. vitapol.pl/sklepy-stacjonarne (stan 21.09.2026);NIE - brak wyszukiwarki sklepów i stron dla partnerów;brak publicznego e-maila centrali (formularz kontaktowy);brak danych;brak danych;właściciel / kierownik sieci partnerskiej (do ustalenia);brak danych;propertynews.pl (101 placówek, 03.2026) | mobydick.com.pl | vitapol.pl/sklepy-stacjonarne;101 niezależnych sklepów pod jedną marką i zero wyszukiwarki sklepów na stronie grupy - klient nie wie, gdzie kupować lokalnie;Program stron dla partnerów: centralny szablon + landingi per sklep („sklep zoologiczny + miasto”), finansowane przez grupę lub współdzielone z partnerami;A;
64;Family Pets;sklepy zoologiczne;franczyza;„ponad 40 lokalizacji w całej Polsce” (deklaracja własna), dynamiczny rozwój, sklepy z żywymi zwierzętami;ogólnopolska;https://familypets.pl;https://familypets.pl/franczyza/;DO WERYFIKACJI - nie potwierdzono, czy lokalizacje mają osobne strony (brak jednoznacznej informacji - nie zakładam);NIE POTWIERDZONO;brak publicznego e-maila (formularz);brak danych;brak danych;dział franczyzy (do ustalenia);brak danych;familypets.pl/franczyza/ („Ponad 40 lokalizacji w całej Polsce i dynamiczny rozwój”) | franczyza: Ułańska 9, Kołaczkowo;40+ sklepów i franczyza w fazie rozwoju - nowi franczyzobiorcy potrzebują strony od pierwszego dnia;Pakiet: strony lokalne dla istniejących sklepów + szybkie wdrożenia dla nowych otwarć (model abonamentowy od centrali);A;DO WERYFIKACJI - brak potwierdzenia, czy sieć zapewnia stronom lokalizacjom własne podstrony
R1;DepilConcept (Brown Sugar Esthetical);beauty / trwała depilacja;sieć usługowa / franczyza;122 salony w PL + 20 w przygotowaniu (cel 140);ogólnopolska;https://depilconcept.pl;https://depilconcept.pl/franczyza/;Kazdy salon ma podstrone z lokalnym SEO na domenie sieci (depilconcept.pl/oddzial/depilconcept-gdynia/);NIE POTWIERDZONO;franchising@depilconcept.pl;(22) 250 11 34;Kamil Miciałkiewicz;menedżer ds. rozwoju sieci DepilConcept Polska;brak danych;depilconcept.pl + franchising.pl + dobrepomyslynabiznes.pl;122 lokalizacje, rosnąca sieć, brak widocznych stron lokalnych, decydent od rozwoju sieci łatwy do znalezienia;szablon centralny + 122 lokalne wersje, hosting/SSL, obsługa techniczna 199-299 zł/mies;ODRZUCONY;Centrala juz realizuje to, co sprzedaje Velto: podstrony per salon z trescia lokalna, wlasnym telefonem i formularzem
R2;Yasumi Instytuty;beauty / instytuty urody;sieć usługowa / franczyza;148-160 salonów (10 własnych, ~138 franczyzowych), plan +100;ogólnopolska;brak danych;brak danych;Subdomeny per salon z pelna strona (rzeszow-instytut.yasumi.pl: kontakt, o nas, rezerwacja, zespol);NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Zofia Bydałek;odpowiedzialna za franczyzę/sieć;brak danych;franczyzawpolsce.pl + franchising.pl 2024;jedna z największych sieci beauty w PL z planem kolejnych 100 lokalizacji;szablon + strony dla nowego konceptu Yasumi Beauty Point (30-50 gabinetów/rok);ODRZUCONY;Firma juz zapewnia strony lokalne (subdomeny per salon) - zasada -5
R3;Depilacja.pl;beauty / depilacja laserowa;sieć usługowa / franczyza + własna technologia;~65 salonów w PL (deklaracje 200+ w grupie);ogólnopolska;https://depilacja.pl;brak danych;Podstrony per salon i usluga: depilacja.pl/salony/<usluga>/<miasto>/ (np. Endermologia Krakow Centrum);NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Damian Kubik;dyrektor generalny;brak danych;dobrepomyslynabiznes.pl + franchising.pl;sieć technologiczna rozumiejąca dane — lokalna widoczność per salon;lokalne strony salonów + SEO 'usuwanie owłosienia <miasto>';ODRZUCONY;Centrala juz zapewnia strony lokalne (podstrony per salon i usluga)
R4;Moose Centrum Języków Obcych;edukacja;sieć usługowa / franczyza;~107 oddziałów (35 własnych);ogólnopolska;brak danych;brak danych;Podstrony per oddzial z trescia lokalna: moose.pl/oddzial/oddzial-w-katowicach/;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Grzegorz Kuzyk;przedstawiciel sieci (dane 2023);brak danych;franczyzawpolsce.pl;100+ oddziałów przyjmujących uczniów z okolicznych miast;strony miast + obsługa techniczna;ODRZUCONY;Centrala juz zapewnia strony lokalne (podstrony per oddzial)
R5;Early Stage;edukacja / szkoły językowe;sieć usługowa / franczyza;850+ placówek, 147 franczyzobiorców, 58 tys. uczniów;ogólnopolska;https://earlystage.pl;https://earlystage.pl (strefa partnera);Podstrony per szkola: earlystage.pl/szkola/bialoleka-1 + subdomeny (universe.earlystage.pl);NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych (dział marketingu);-;brak danych;franchising.pl + franczyzawpolsce.pl;850 lokalizacji zajęć — nawet przy częściowym pokryciu centralnym skala daje dziesiątki wdrożeń;lokalne landingi mikrolokalizacji + obsługa techniczna na skalę;ODRZUCONY;Centrala juz zapewnia strony lokalne (podstrony per placowka)
R6;Helen Doron English Polska;edukacja / szkoły językowe;sieć usługowa / franczyza;220+ oddziałów w PL;1000+ centrów w 38 krajach;ogólnopolska;https://helendoron.pl;Podstrony per miasto i oddzial: helendoron.pl/nauka-angielskiego-krakow/, /angielski-bialystok/;DO WERYFIKACJI - wyszukiwarka centrów;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych (osoba od sieci PL);-;brak danych;franczyzawpolsce.pl + helendoron.pl — franczyzobiorcy to lokalni przedsiębiorcy często bez własnych stron;strona centrum + lokalne SEO dla zapisów (wdrożenia przy nowych centrach);ODRZUCONY;Centrala juz zapewnia strony lokalne (podstrony per oddzial)
R7;British School;edukacja;sieć usługowa / franczyza;40-60+ oddziałów franczyzowych;ogólnopolska;https://www.britishschool.pl;https://www.britishschool.pl/franchising;Podstrony per oddzial: britishschool.pl/warszawa-targowice/, /warszawa-wola-centrum;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;britishschool.pl + franczyzawpolsce.pl;sieć franczyzowa bez potwierdzonych stron lokalnych;lokalne strony oddziałów + landingi zapisowe na semestr;ODRZUCONY;Centrala juz zapewnia strony lokalne (podstrony per oddzial)
R8;Perfect Look Clinic;beauty / kliniki kosmetologiczne;sieć usługowa / franczyza;~80 salonów (12 nowych w 2024/25), plan 200;ogólnopolska (podstrony /kliniki/<miasto> istnieją centralnie);https://perfectlookclinic.pl;brak danych;Podstrony per salon: perfectlook.clinic/gabinety/plc-wielun/;CZĘŚCIOWO;wielun@perfectlookclinic.pl (e-mail salonu);telefony salonów publiczne;Szymon Pankowski;dyrektor operacyjny sieci franczyzowej;brak danych;GF24.pl, businesswomanlife.pl, trojmiasto.pl (link /kliniki/);wysoka skala i tempo wzrostu, ale centrala już publikuje lokalne podstrony - sprzedaż tylko na domeny własne franczyzobiorców;strony na własnych domenach dla multifranczyzobiorców, system obsługi 80+ stron;ODRZUCONY;Centrala juz zapewnia strony lokalne (podstrony per salon)
R9;Hasten (szkola plywania);nauka plywania;firma wielolokalizacyjna (nie franczyza);14 lokalizacji w Warszawie i Legionowie, 260+ grup;Warszawa i Legionowo;https://hasten.pl;n/d;Podstrony per basen/lokalizacja: hasten.pl/baseny/nauka-plywania-...-legionowo-piaskowa/;DO WERYFIKACJI;brak publicznego e-maila (formularz);brak publicznego telefonu;brak danych;-;brak danych;hasten.pl (03.2026);14 lokalizacji w jednym miescie = test landingow dzielnicowych;landingi per lokalizacja i poziom nauczania + zapisy;ODRZUCONY;Centrala juz zapewnia strony lokalne (podstrony per lokalizacja)
R10;KIDS&Co;zlobki i przedszkola;siec placowek;35 placowek;Polska;https://kids-co.pl;n/d;Podstrony per placowka: kids-co.pl/kindergarten/wroclaw/nokia/;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;kids-co.pl;Frazy zlobek/przedszkole + dzielnica sa bardzo lokalne;landing per placowka + zapisy;ODRZUCONY;Centrala juz zapewnia strony lokalne (podstrony per placowka)
R11;Galeria Usmiechu / Usmiechnij Mi Sie (Dentity);stomatologia;sieci regionalne (Dentity);26 gabinetow (Nowy Sacz, Krakow, Gliwice) + 7 gabinetow (Oswiecim, Jaworzno);Malopolska / Slask;https://www.galeriausmiechu.pl;n/d;Podstrony per miasto: galeriausmiechu.pl/gliwice/, /nowy-sacz/;TAK (podstrony per miasto);brak publicznego e-maila;brak publicznego telefonu;Grzegorz Struzik;CEO Grupy Dentity;brak danych;dentity.pl + dentonet.pl;Podstrony per miasto juz istnieja - potencjal ograniczony do ujednolicenia;ujednolicenie i optymalizacja istniejacych podstron;ODRZUCONY;Marka juz zapewnia strony lokalne (podstrony per miasto)
R12;Kodano Optyk;optyka;sieć usługowa / franczyza;130+ salonów, plan 170 do końca 2026, +50 otwarć/rok;ogólnopolska;https://kodano.pl;https://kodano.pl;Centralne strony per salon + wlasny e-commerce i dzial IT;TAK (centralnie);brak publicznego e-maila;telefony salonów publiczne;Łukasz Kuczyński;dyrektor ds. rozwoju franczyzy KODANO;brak danych;retailnet.pl (2025-2026) + kodano.pl;50 nowych salonów rocznie = 50 landingów/rok, ale firma ma zaawansowany e-commerce i własny zespół;lokalne SEO jako wsparcie, nie główny wykonawca;ODRZUCONY;Firma juz zapewnia strony lokalne (centralne strony per salon) + wlasny e-commerce/dzial IT
R13;Da Grasso;gastronomia / pizza;sieć usługowa / franczyza;~190 lokali, cel ~400;ogólnopolska;https://www.dagrasso.pl;https://www.dagrasso.pl (strefa franczyzy);DO WERYFIKACJI - lokalizator + platforma zamówień, brak landingów per restauracja;TAK (centralna platforma zamówień);brak publicznego e-maila;brak publicznego telefonu do centrali;Magdalena Piróg;prezes Da Grasso;brak danych;Puls Biznesu 12/2024, retailnet 07/2025;190 restauracji, podwojenie sieci w planach = powtarzalne wdrożenia przy każdym otwarciu;lokalne landingi restauracji (menu, zamówienia, SEO 'pizza <miasto>'), abonament serwisowy;ODRZUCONY;Centralny kanal transakcji: jedna strona glowna obsluguje wszystkie lokalizacje i zamowienia - lokalna strona nie pelni funkcji sprzedazowej
R14;Biesiadowo;gastronomia;sieć usługowa / franczyza;119 lokali franczyzowych (dane 2020);ogólnopolska;brak danych;brak danych;DO WERYFIKACJI;TAK (centralna platforma zamówień);brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;horecatrends.pl (raport 2020);119 restauracji konkurujących o lokalną dostawę;lokalne landingi + menu + zamówienia;ODRZUCONY;Potwierdzone: franczyzobiorca dostaje darmowa integracje z aplikacja zamowien (biesiadowo.pl, zjemy.co), a restauracje maja centralne podstrony per lokal - centrala juz zapewnia strony
R15;Studio Figura;beauty / gabinety kosmetyczne;franczyza;420 gabinetow;Polska;https://studiofigura.com.pl;https://studiofigura.com.pl/;ISTNIEJA subdomeny per gabinet (np. zielonagora.studio-figura.pl);TAK (subdomeny per gabinet);brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;studiofigura.com.pl;Hipoteza braku stron lokalnych obalona - sa subdomeny per gabinet;-;ODRZUCONY;Firma juz zapewnia strony lokalne (subdomeny per gabinet) - zasada -5
R16;GO4Robot;edukacja / robotyka dla dzieci;franczyza;siec zajec;Polska;brak danych;n/d;Centralne podstrony miast + panel rodzica;TAK (centralnie);brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;analiza wersji 1;Potrzeba pokryta centralnie;-;ODRZUCONY;Centrala zapewnia podstrony miast i panel rodzica
R17;Olimp;gastronomia / siec placowek;franczyza;90 placowek (58 franczyzowych, dane 2020);Polska;brak danych;n/d;Lokalizacje wylacznie w galeriach handlowych (samoobsluga, jedzenie na wage) - ruch z galerii;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;brak danych;-;brak danych;analiza wersji 1;DO WERYFIKACJI - nie odrzucamy bez dowodu (wczesniejsze odrzucenie przez analogie bylo bledem);-;ODRZUCONY;Bramka A: brak lokalnej intencji wyszukiwania (klient trafia przez galerie handlowa)
R18;Delante;agencja SEO;konkurent;n/d;Polska;brak danych;n/d;n/d;n/d;brak danych;brak danych;brak danych;-;brak danych;delante.pl;Konkurent sprzedajacy strony per lokalizacja;-;ODRZUCONY;Konkurent - nie lead
R19;mobileEnglish;edukacja / szkoły językowe;sieć usługowa / franczyza;75 oddziałów franczyzowych, 1 własny, 5-7 otwarć/rok;ogólnopolska;brak danych (mobile English);brak danych;Domena mobileenglish.pl to dzis blog jezykowy, nie strona sieci szkol;NIE POTWIERDZONO;brak publicznego e-maila;brak publicznego telefonu;Jakub Midel;właściciel sieci;brak danych;franczyzawpolsce.pl + franchising.pl;75 franczyzobiorców bez potwierdzonych stron lokalnych — tani produkt 999-2000 zł, szybka decyzja właściciela;strona oddziału + lokalne SEO dla zapisów, pakiet 10-20 wdrożeń;ODRZUCONY;Dane nieaktualne - siec szkol niepotwierdzona - wrocic tylko po potwierdzeniu istnienia sieci
R20;Marmed;protetyka sluchu;siec wlasna;220+ gabinetow, od 1990;Polska;https://www.marmed.pl;n/d;Podstrony per gabinet: marmed.pl/gabinety/mazowieckie/aparaty-sluchowe-radom/;TAK (podstrony per gabinet);brak publicznego e-maila;+48 18 353 82 66;brak danych;-;brak danych;marmed.pl/gabinety/;-;-;ODRZUCONY;Firma juz zapewnia strony lokalne (podstrony per gabinet z FAQ i specjalistami)
R21;Audiofon-Brzoza;protetyka sluchu;siec wlasna (regionalna);12 gabinetow w 10 miastach;kujawsko-pomorskie, wielkopolskie;https://audiofon-brzoza.pl;n/d;Podstrony per miasto: audiofon-brzoza.pl/news/gabinety/bydgoszcz.html (godziny, telefony);TAK (podstrony per miasto);biuro@audiofon-brzoza.pl;500 499 918;brak danych;-;brak danych;audiofon-brzoza.pl/news/gabinety/;-;-;ODRZUCONY;Firma juz zapewnia strony lokalne (podstrony per miasto z godzinami i kontaktem)
R22;Fikolki;sale zabaw dla dzieci;siec wlasna;~35 lokalizacji w galeriach handlowych;cala Polska;https://fikolki.pl;n/d;Osobne strony per lokalizacja: /alfa-bialystok/, /sfera/, /lokalizacja/galeria-morena/;TAK (strony per lokal);brak publicznego e-maila;500 200 200;brak danych;-;brak danych;fikolki.pl/lokalizacje/;-;-;ODRZUCONY;Firma juz zapewnia strony lokalne (osobne strony per lokalizacja z atrakcjami)
R23;Cosinus;szkoly policealne i licea dla doroslych;siec wlasna;40+ miast;cala Polska;https://www.cosinus.pl;n/d;Strony per miasto: cosinus.pl/kielce, cosinus.pl/krakow (sekretariat, plan, kierunki);TAK (strony per miasto);kielce@cosinus.pl (mail per miasto);41 300 70 50;brak danych;-;brak danych;cosinus.pl/szkoly-policealne;-;-;ODRZUCONY;Firma juz zapewnia strony lokalne (strony per miasto z pelna oferta)
R24;Emeis Polska;domy opieki i kliniki rehabilitacyjne;siec wlasna (grupa miedzynarodowa);15 placowek, 1500 miejsc, 1200 pracownikow;Warszawa, Piaseczno, Wroclaw, Chorzow, Stare Babice i in.;https://emeis.pl;n/d;Podstrony per placowka: emeis.pl/honorata (uslugi, galeria, kontakt);TAK (podstrony per placowka);honorata@emeis.com (mail per placowka);+48 22 888 59 13;brak danych;-;brak danych;emeis.pl/opieka/lista/;-;-;ODRZUCONY;Firma juz zapewnia strony lokalne (podstrony per placowka)
R25;Body Evolution;studia modelowania sylwetki;franczyza;15-27 gabinetow;cala Polska;https://bodyevolution.pl;https://bodyevolution.pl/franczyza/;Podstrony per salon: bodyevolution.pl/nasze-salony/ + strony miast;TAK (strony per salon);franczyza@bodyevolution.pl;501 001 071;brak danych;-;brak danych;bodyevolution.pl/nasze-salony/;-;-;ODRZUCONY;Firma juz zapewnia strony lokalne (strony per salon)
R26;VisionOptyk;salony optyczne;franczyza;16 salonow (Wielkopolska), siec franczyzowa w ekspansji (docelowo 102 placowki wg prasy);Wielkopolska i inne regiony;https://visionoptyk.pl;https://visionoptyk.pl/salony/;Odnosniki Przejdz do strony salonu w [miasto] - sale maja wlasne strony;TAK (strony per salon);brak publicznego e-maila;696 770 333;brak danych;-;brak danych;visionoptyk.pl/salony/ + franchising.pl/artykul/13483;-;-;ODRZUCONY;Firma juz zapewnia strony lokalne (wlasne strony per salon)
R27;Xtreme Fitness Gyms (Xtreme Brands);kluby fitness;franczyza;184 kluby fitness + 16 sal Xtreme KiDS (200 lokalizacji 06.2026, plan 227 na 2026);ogólnopolska;https://xtremefitness.pl;https://franchising.pl/franczyza/1689/xtreme-fitness-gyms/;TAK - każdy klub ma osobną podstronę: xtremefitness.pl/kluby/XF_Krakow_Zyczkowskiego (adres, godziny, e-mail klubowy, grafik /grafik, regulamin);TAK - sieć prowadzi strony klubów centralnie;brak potrzeby;brak potrzeby;Filip Puchalski - Commercial Director Xtreme Brands;Commercial Director;https://pl.linkedin.com/in/filip-puchalski;xtremefitness.pl/kluby/XF_Krakow_Zyczkowskiego | franchising.pl/franczyza/1689 | xtreme-brands.prowly.com (200. lokalizacja);Sieć ma pełne strony klubów z grafikiem zajęć i kontaktem klubowym - nie ma luki lokalnej;brak;ODRZUCONY;Sieć już zapewnia klubom osobne strony z adresem, godzinami, grafikiem i kontaktem (-5 wg punktacji)
R28;36 MINUT;butikowe studia treningu funkcjonalnego;franczyza;ok. 60 klubów w Polsce (plus 4 w budowie wg franchising.pl 2025);ogólnopolska;https://36minut.pl;https://36minut.pl/kluby/;TAK - lista /kluby/ linkuje do osobnych stron klubów, np. 36minut.pl/project/36-minut-aleksandrow/, /36-minut-bialystok/, /36-minut-pruszkow/ (adres + „Zapisz mnie”);TAK;brak potrzeby;brak potrzeby;brak danych;brak danych;brak danych;36minut.pl/kluby/ | franchising.pl (36 MINUT - ponad 60 lokalizacji);Każdy klub ma osobną stronę w domenie centralnej;brak;ODRZUCONY;Sieć prowadzi osobne podstrony per klub (-5 wg punktacji)
R29;Cukiernia Sowa;cukiernie i piekarnie;franczyza;ok. 170 placówek (2023), franczyza od 2016, inwestycja 0,8-1,2 mln zł;ogólnopolska (Bydgoszcz, Białystok, Poznań, Łódź, Warszawa i in.);https://www.cukierniasowa.pl;https://www.cukierniasowa.pl/cukiernie;TAK - każda cukiernia ma „wizytówkę”, np. cukierniasowa.pl/cukiernie/bydgoszcz-ul-mostowa-5 (adres, telefon, godziny);TAK;brak potrzeby;brak potrzeby;brak danych;brak danych;brak danych;cukierniasowa.pl/cukiernie | franchising.pl/artykul/12697 (ok. 170 placówek);Sieć opublikowała wizytówki wszystkich lokalizacji z adresem i telefonem;brak;ODRZUCONY;Lokalizacje mają własne wizytówki na stronie sieci (-5 wg punktacji)
